"ECO_ID","ECO_NAME","BIOME_NAME","REALM"
753,"Hindu Kush alpine meadow","Montane Grasslands & Shrublands","Palearctic"
532,"Hispaniolan dry forests","Tropical & Subtropical Dry Broadleaf Forests","Neotropic"
468,"Hispaniolan moist forests","Tropical & Subtropical Moist Broadleaf Forests","Neotropic"
555,"Hispaniolan pine forests","Tropical & Subtropical Coniferous Forests","Neotropic"
95,"Hobyo grasslands and shrublands","Deserts & Xeric Shrublands","Afrotropic"
666,"Hokkaido deciduous forests","Temperate Broadleaf & Mixed Forests","Palearctic"
698,"Hokkaido montane conifer forests","Temperate Conifer Forests","Palearctic"
699,"Honshu alpine conifer forests","Temperate Conifer Forests","Palearctic"
45,"Horn of Africa xeric bushlands","Tropical & Subtropical Grasslands, Savannas & Shrublands","Afrotropic"
667,"Huang He Plain mixed forests","Temperate Broadleaf & Mixed Forests","Palearctic"
571,"Humid Chaco","Tropical & Subtropical Grasslands, Savannas & Shrublands","Neotropic"
576,"Humid Pampas","Temperate Grasslands, Savannas & Shrublands","Neotropic"
141,"Huon Peninsula montane rain forests","Tropical & Subtropical Moist Broadleaf Forests","Australasia"
792,"Iberian conifer forests","Mediterranean Forests, Woodlands & Scrub","Palearctic"
793,"Iberian sclerophyllous and semi-deciduous forests","Mediterranean Forests, Woodlands & Scrub","Palearctic"
711,"Iceland boreal birch forests and alpine tundra","Boreal Forests/Taiga","Palearctic"
794,"Illyrian deciduous forests","Mediterranean Forests, Woodlands & Scrub","Palearctic"
319,"Indochina mangroves","Mangroves","Indomalayan"
320,"Indus River Delta-Arabian Sea mangroves","Mangroves","Indomalayan"
317,"Indus Valley desert","Deserts & Xeric Shrublands","Indomalayan"
71,"Inner Niger Delta flooded savanna","Flooded Grasslands & Savannas","Afrotropic"
375,"Interior Alaska-Yukon lowland taiga","Boreal Forests/Taiga","Nearctic"
336,"Interior Plateau US Hardwood Forests","Temperate Broadleaf & Mixed Forests","Nearctic"
416,"Interior Yukon-Alaska alpine tundra","Tundra","Nearctic"
469,"Iquitos v<U+00E1>rzea","Tropical & Subtropical Moist Broadleaf Forests","Neotropic"
294,"Irrawaddy dry forests","Tropical & Subtropical Dry Broadleaf Forests","Indomalayan"
234,"Irrawaddy freshwater swamp forests","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan"
235,"Irrawaddy moist deciduous forests","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan"
470,"Isthmian-Atlantic moist forests","Tropical & Subtropical Moist Broadleaf Forests","Neotropic"
471,"Isthmian-Pacific moist forests","Tropical & Subtropical Moist Broadleaf Forests","Neotropic"
